danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.484,0.435,0,-10.545,1,0.0332,0.129,0.000148,0.34,0.0567,172.11599999999999,audio_features,5JhXjKYa9tXLLUnykYAcG7,spotify:track:5JhXjKYa9tXLLUnykYAcG7,https://api.spotify.com/v1/tracks/5JhXjKYa9tXLLUnykYAcG7,https://api.spotify.com/v1/audio-analysis/5JhXjKYa9tXLLUnykYAcG7,139549,4,Dark Trap,Cure,,
0.7340000000000001,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,audio_features,3GVkPk8mqxz0itaAriG1L7,spotify:track:3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7,95467,4,Dark Trap,Everybody Dies In Their Nightmares,,
0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,211.9,audio_features,2H3wWrnO758y0fPH7Ilerg,spotify:track:2H3wWrnO758y0fPH7Ilerg,https://api.spotify.com/v1/tracks/2H3wWrnO758y0fPH7Ilerg,https://api.spotify.com/v1/audio-analysis/2H3wWrnO758y0fPH7Ilerg,144733,4,Dark Trap,Depression & Obsession,,
0.645,0.71,7,-5.093999999999999,1,0.07,0.38,0.0012699999999999999,0.0916,0.126,165.959,audio_features,6IirkWmtTPvDHg5J9IpxYS,spotify:track:6IirkWmtTPvDHg5J9IpxYS,https://api.spotify.com/v1/tracks/6IirkWmtTPvDHg5J9IpxYS,https://api.spotify.com/v1/audio-analysis/6IirkWmtTPvDHg5J9IpxYS,145096,4,Dark Trap,Exhausted,,
0.81,0.782,9,-3.783,1,0.413,0.0071400000000000005,0.0,0.18899999999999997,0.636,140.028,audio_features,3J1zD09c70qKnrYYSYzEhw,spotify:track:3J1zD09c70qKnrYYSYzEhw,https://api.spotify.com/v1/tracks/3J1zD09c70qKnrYYSYzEhw,https://api.spotify.com/v1/audio-analysis/3J1zD09c70qKnrYYSYzEhw,89789,4,Dark Trap,Tip Toe Freestyle,,
0.623,0.716,8,-5.149,1,0.0342,0.000246,0.381,0.23199999999999998,0.115,190.04,audio_features,2gkyVGIhSATA3oY5XqFajh,spotify:track:2gkyVGIhSATA3oY5XqFajh,https://api.spotify.com/v1/tracks/2gkyVGIhSATA3oY5XqFajh,https://api.spotify.com/v1/audio-analysis/2gkyVGIhSATA3oY5XqFajh,192000,3,Dark Trap,Push Me,,
0.613,0.909,6,-5.97,0,0.26899999999999996,0.0923,0.0,0.8590000000000001,0.7390000000000001,150.033,audio_features,6XSOrhGJprcGmgPS8Zcm97,spotify:track:6XSOrhGJprcGmgPS8Zcm97,https://api.spotify.com/v1/tracks/6XSOrhGJprcGmgPS8Zcm97,https://api.spotify.com/v1/audio-analysis/6XSOrhGJprcGmgPS8Zcm97,97298,4,Dark Trap,7.62x39mm,,
0.348,0.925,11,-6.4110000000000005,0,0.326,0.0017100000000000001,2.31e-06,0.37200000000000005,0.142,139.056,audio_features,6BDu7lsmjaWlzZXRtDThra,spotify:track:6BDu7lsmjaWlzZXRtDThra,https://api.spotify.com/v1/tracks/6BDu7lsmjaWlzZXRtDThra,https://api.spotify.com/v1/audio-analysis/6BDu7lsmjaWlzZXRtDThra,149802,4,Dark Trap,Adult Swim (Feat. Original God & Yung Bitch),,
0.804,0.6859999999999999,6,-0.23600000000000002,1,0.258,0.0337,0.000286,0.196,0.22,185.00799999999998,audio_features,20BYOWkDwXrmLlqn6VVABl,spotify:track:20BYOWkDwXrmLlqn6VVABl,https://api.spotify.com/v1/tracks/20BYOWkDwXrmLlqn6VVABl,https://api.spotify.com/v1/audio-analysis/20BYOWkDwXrmLlqn6VVABl,129856,4,Dark Trap,Shooting Dice,,
0.639,0.932,1,-1.003,1,0.35700000000000004,0.133,0.00818,0.11199999999999999,0.6679999999999999,199.98,audio_features,07BCzMdqX3u9HluaSQRcL2,spotify:track:07BCzMdqX3u9HluaSQRcL2,https://api.spotify.com/v1/tracks/07BCzMdqX3u9HluaSQRcL2,https://api.spotify.com/v1/audio-analysis/07BCzMdqX3u9HluaSQRcL2,153656,4,Dark Trap,Welcome to My Heart,,
0.583,0.915,4,-2.191,1,0.46399999999999997,0.0936,0.0,0.348,0.628,179.83599999999998,audio_features,00bEP3V5Ova0ihFnLUFbK2,spotify:track:00bEP3V5Ova0ihFnLUFbK2,https://api.spotify.com/v1/tracks/00bEP3V5Ova0ihFnLUFbK2,https://api.spotify.com/v1/audio-analysis/00bEP3V5Ova0ihFnLUFbK2,138757,4,Dark Trap,Bryan Fury,,
0.655,0.948,8,-4.338,1,0.41600000000000004,0.462,2.54e-05,0.0835,0.69,159.89700000000002,audio_features,7zShdWNBUXsUoU3akjRVHW,spotify:track:7zShdWNBUXsUoU3akjRVHW,https://api.spotify.com/v1/tracks/7zShdWNBUXsUoU3akjRVHW,https://api.spotify.com/v1/audio-analysis/7zShdWNBUXsUoU3akjRVHW,108004,4,Dark Trap,The Mishima Bloodline,,
